Y,X
0,76.8771
2.566210046,82.134
5.132420091,82.4418
7.698630137,88.65855
10.26484018,99.43965
12.83105023,101.4849
15.39726027,101.35935
17.96347032,98.50005
20.52968037,97.362
23.09589041,94.95225
25.66210046,91.04805
28.2283105,90.61875
30.79452055,92.826
33.36073059,85.02165
35.92694064,80.08065
38.49315068,77.56965
41.05936073,75.6621
43.62557078,76.5936
46.19178082,68.28705
48.75799087,67.959
51.32420091,70.83855
53.89041096,68.53815
56.456621,66.12435
59.02283105,67.8375
61.5890411,65.29005
64.15525114,66.5496
66.72146119,70.03665
69.28767123,67.4649
71.85388128,62.74665
74.42009132,64.6866
76.98630137,62.6049
79.55251142,68.56245
82.11872146,67.0275
84.68493151,60.81885
87.25114155,53.2818
89.8173516,56.1978
92.38356164,55.65105
94.94977169,52.08705
97.51598174,43.0677
100.0821918,44.0964
102.6484018,52.1802
105.2146119,54.02295
107.7808219,59.72535
110.347032,61.1469
112.913242,57.9879
115.4794521,56.7243
118.0456621,55.1772
120.6118721,50.1633
123.1780822,54.29835
125.7442922,46.66005
128.3105023,53.59365
130.8767123,56.1492
133.4429224,43.16895
136.0091324,50.5926
138.5753425,50.625
141.1415525,52.7715
143.7077626,49.48695
146.2739726,45.5544
148.8401826,46.3401
151.4063927,51.21225
153.9726027,50.8356
156.5388128,53.82855
159.1050228,53.703
161.6712329,51.3702
164.2374429,55.35945
166.803653,57.9798
169.369863,60.1992
171.9360731,51.48765
174.5022831,47.76975
177.0684932,57.37635
179.6347032,53.4195
182.2009132,51.89265
184.7671233,52.4475
187.3333333,56.0682
189.8995434,58.85055
192.4657534,57.105
195.0319635,54.9666
197.5981735,53.298
200.1643836,46.97595
202.7305936,43.1163
205.2968037,47.3769
207.8630137,41.0427
210.4292237,37.9647
212.9954338,35.4537
215.5616438,37.9971
218.1278539,39.90465
220.6940639,39.2688
223.260274,30.3426
225.826484,32.3919
228.3926941,37.85535
230.9589041,34.0443
233.5251142,33.92685
236.0913242,29.2977
238.6575342,28.86435
241.2237443,28.20825
243.7899543,27.3537
246.3561644,25.61625
248.9223744,28.4877
251.4885845,23.74515
254.0547945,21.17745
256.6210046,18.3465
259.1872146,20.0799
261.7534247,22.4937
264.3196347,23.6277
266.8858447,12.23505
269.4520548,17.6985
272.0182648,16.6374
274.5844749,15.54795
277.1506849,14.9121
279.716895,18.1764
282.283105,13.96845
284.8493151,11.08485
287.4155251,9.6147
289.9817352,9.08415
292.5479452,9.51345
295.1141553,14.2884
297.6803653,21.8862
300.2465753,24.03675
302.8127854,23.08095
305.3789954,28.32975
307.9452055,30.5613
310.5114155,26.1873
313.0776256,30.53295
315.6438356,33.6474
318.2100457,29.1276
320.7762557,23.84235
323.3424658,23.93955
325.9086758,23.98815
328.4748858,23.89095
331.0410959,27.0864
333.6073059,36.29205
336.173516,31.26195
338.739726,28.45125
341.3059361,26.81505
343.8721461,28.16775
346.4383562,21.7971
349.0045662,25.77825
351.5707763,27.3537
354.1369863,26.58015
356.7031963,27.5805
359.2694064,39.21615
361.8356164,42.67485
364.4018265,35.1297
366.9680365,65.97855
369.5342466,69.63165
372.1004566,72.495
374.6666667,78.5052
377.2328767,76.7556
379.7990868,77.71545
382.3652968,86.07465
384.9315068,86.01795
387.4977169,77.8248
390.0639269,74.25675
392.630137,72.1629
395.196347,70.93575
397.7625571,71.5635
400.3287671,74.3337
402.8949772,76.8771
405.4611872,85.83165
408.0273973,88.71525
410.5936073,80.80965
413.1598174,79.47315
415.7260274,85.5603
418.2922374,80.9838
420.8584475,83.6163
423.4246575,84.38985
425.9908676,83.5758
428.5570776,84.7341
431.1232877,90.89415
433.6894977,93.41325
436.2557078,95.6853
438.8219178,93.0852
441.3881279,96.69375
443.9543379,93.88305
446.5205479,92.7936
449.086758,95.2965
451.652968,87.84855
454.2191781,94.50675
456.7853881,97.5645
459.3515982,92.91915
461.9178082,93.74535
464.4840183,88.8975
467.0502283,93.9762
469.6164384,95.8797
472.1826484,97.53615
474.7488584,97.0704
477.3150685,96.3657
479.8812785,99.98235
482.4474886,102.75255
485.0136986,105.13395
487.5799087,104.64795
490.1461187,105.86295
492.7123288,107.95275
495.2785388,109.23255
497.8447489,108.216
500.4109589,109.34595
502.9771689,121.824
505.543379,125.3313
508.109589,122.8284
510.6757991,116.2269
513.2420091,116.86275
515.8082192,116.8668
518.3744292,116.87895
520.9406393,111.98655
523.5068493,115.85835
526.0730594,115.54245
528.6392694,113.63085
531.2054795,114.5664
533.7716895,114.6636
536.3378995,113.2623
538.9041096,109.3419
541.4703196,108.17955
544.0365297,106.5231
546.6027397,105.55515
549.1689498,102.3435
551.7351598,101.66715
554.3013699,86.45535
556.8675799,91.46925
559.43379,90.2502
562,91.9836
